Symbol_1,periodOfReport,employeeCount
STS.MI,,
STS.MI,,
STS.MI,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
AON,2023-12-31,50000
ATR,2024-12-31,13500
ARCAD.AS,,
ARCAD.AS,,
ACL.JO,,
ACL.JO,,
ARX.TO,,
MT.AS,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
ARM.L,,
2502.T,,
2502.T,,
2502.T,,
5201.T,,
5201.T,,
5201.T,,
5201.T,,
5201.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
3407.T,,
4503.T,,
4503.T,,
4503.T,,
4503.T,,
4503.T,,
4503.T,,
APN.JO,,
APN.JO,,
APN.JO,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
G.MI,,
ATK.L,,
AZN.L,,
AZN.L,,
AZN.L,,
AZN.L,,
AZN.L,,
2357.TW,,
2357.TW,,
ASX.AX,,
ASX.AX,,
ASX.AX,,
T,2023-12-31,149900
ATEA.OL,,
ATEA.OL,,
ATEA.OL,,
unknown,,
unknown,,
unknown,,
ATL.MI,,
ATCO-A.ST,,
ATCO-A.ST,,
ATCO-A.ST,,
ATCO-A.ST,,
ATO.PA,,
ATO.PA,,
ATA.TO,,
ATA.TO,,
2409.TW,,
2409.TW,,
AIA.NZ,,
AIA.NZ,,
ANZ.AX,,
ANZ.AX,,
ANZ.AX,,
ANZ.AX,,
ANZ.AX,,
AMS.SW,,
AMS.SW,,
AMS.SW,,
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
