Symbol_1,environmentalScore,socialScore,governanceScore,ESGScore
VESTL.IS,,,,
011070.KS,,,,
108670.KS,,,,
ACN,68.48,66.58,73.93,69.66
CB,49.1,53.75,55.15,52.67
6770.T,,,,
DOX,64.37,51.39,72.89,62.88
ADS.DE,,,,
3231.TW,,,,
OLAM,,,,
NOBL,,,,
0992.HK,,,,
1402.TW,,,,
MQG.AX,,,,
CHC.AX,,,,
AQP.AX,,,,
OIBR3.SA,,,,
FIBR3.SA,,,,
BRML3.SA,,,,
CSMG3.SA,,,,
2382.TW,,,,
TECK-A.TO,,,,
DNB.OL,,,,
CPLE3.SA,,,,
021240.KS,,,,
3044.TW,,,,
AIR.PA,,,,
TCG.L,,,,
BWNG.L,,,,
2356.TW,,,,
BKG.L,,,,
RPS.L,,,,
1206031Z.L,,,,
COST.L,,,,
LIN.DE,,,,
DLG.DE,,,,
CWC.DE,,,,
5AB.DE,,,,
IIB.BO,,,,
6268.T,,,,
TED.L,,,,
9513.T,,,,
010120.KS,,,,
2579.T,,,,
METSB.HE,,,,
KLED.ST,,,,
KBHL.CO,,,,
ICL.TA,,,,
ABI.BR,,,,
SJM,60.59,53.59,61.34,58.51
JEC,,,,
DOF.OL,,,,
DNORD.CO,,,,
JCP,63.57,73.99,70.4,69.32
IRM,61.33,64.21,72.2,65.91
BILL.ST,,,,
UBSN.SW,,,,
IHG.L,,,,
006120.KS,,,,
CONCHA.SN,,,,
PFC.L,,,,
WALLB.ST,,,,
PIC.L,,,,
6121.TW,,,,
BVT.JO,,,,
UGL.AX,,,,
DELB.BR,,,,
CCH.L,,,,
FR.PA,,,,
GFNORTEO.MX,,,,
BVMF3.SA,,,,
SNR.L,,,,
SHP.L,,,,
DUE.DE,,,,
TTKOM.IS,,,,
GWW,53.4,59.2,61.62,58.07
WDC,66.9,60.89,68,65.26
V,37.95,51.99,66.33,52.09
VFC,58.41,69.98,66.08,64.83
VTR,59.86,62.56,67.63,63.35
VAR,58.03,59.38,63.1,60.17
VOD.JO,,,,
SLM.JO,,,,
SGRE.MC,,,,
TFI.PA,,,,
BAP,52.1,66.04,59.56,59.23
SEBA.ST,,,,
HFG.L,,,,
IRV.L,,,,
IPF.L,,,,
HLCL.L,,,,
STM.MI,,,,
FWEB.L,,,,
EXPN.L,,,,
CIEL3.SA,,,,
WES.AS,,,,
HEIJM.AS,,,,
DSM.AS,,,,
BANIF.LS,,,,
BAMNB.AS,,,,
TIE1V.HE,,,,
STCAS.HE,,,,
STERV.HE,,,,
VAIAS.HE,,,,
STL.OL,,,,
SOFF.OL,,,,
REC.OL,,,,
NRE1V.HE,,,,
HCN,,,,
WG.L,,,,
SBRY.L,,,,
HCP,64.99,69.16,56.34,63.5
FCX,54.16,56.91,80.73,63.93
INL.JO,,,,
OCE.JO,,,,
561935Z,,,,
0122952D,,,,
SON,78.49,77.03,68.73,74.75
0351562D,,,,
YUNSA.IS,,,,
MLHR,81.17,62.58,77.75,73.83
0084962D,,,,
TUPY3.SA,,,,
EDW.L,,,,
7672751Z.L,,,,
300363.SZ,,,,
SVR,,,,
7225Z,,,,
1073704D.L,,,,
1105106Z.L,,,,
KCOM.L,,,,
88030Z.CO,,,,
CVE.TO,,,,
1083066Z.L,,,,
MLS,,,,
ENOC,74.96,77.45,79.05,77.15
4471711Z.L,,,,
5020.T,,,,
0863739D,,,,
764144Q,,,,
5092Z,,,,
8218497Z,,,,
0123348D,,,,
0575318D,,,,
DELT.TA,,,,
0303130Z,,,,
HBI,65.72,70.14,68.14,68
3273Z,,,,
1147007Z.L,,,,
MTCL.BO,,,,
1056Z.SW,,,,
SPWR,73.5,68.61,71.21,71.11
0539909D,,,,
0007073D,,,,
BICB3.SA,,,,
RANI4.SA,,,,
AFB.ST,,,,
EVRY.OL,,,,
IRE.MI,,,,
CHR.CO,,,,
YNAP.MI,,,,
RBP.JO,,,,
TNET.BR,,,,
COFB.BR,,,,
BEFB.BR,,,,
SANB3.SA,,,,
JUP.L,,,,
TALK.L,,,,
XPP.L,,,,
CTL,74.31,72.7,63.52,70.18
034730.KS,,,,
8725.T,,,,
GRONT.AS,,,,
JBHT,57.7,51.39,61.85,56.98
071320.KS,,,,
THI.TO,,,,
NNB.ST,,,,
7735.T,,,,
ATS,69.71,66.26,63.41,66.46
MMFS.BO,,,,
TGBL.BO,,,,
LULU,45.34,63.43,69.11,59.29
NFX,,,,
UPM1V.HE,,,,
MSI,85.23,66.71,66,72.64
ABG.MC,,,,
INTEGRC1,,,,
SOTL.BO,,,,
6444.T,,,,
7379247Z.PA,,,,
H,60.44,58.91,66.92,62.09
1552993D,,,,
0178007D,,,,
3970108Z.CO,,,,
ITEC3.SA,,,,
DBRE3.SA,,,,
2485.TW,,,,
MBDZ.T,,,,
BSR.JO,,,,
8179986Z.SA,,,,
1485758D.SA,,,,
LAYN,61.04,45.83,56.91,54.59
4485043ZUS,,,,
TILE,56.44,66.76,66.68,63.29
9243917Z,,,,
0003712D,,,,
38263Z.SA,,,,
495294Z.MC,,,,
ELPL4.SA,,,,
7580836Z,,,,
BPOST.BR,,,,
AZJ.AX,,,,
IAG.L,,,,
139130.KS,,,,
BHY.L,,,,
PTTGC.BK,,,,
CNU.NZ,,,,
6754.T,,,,
BC.SW,,,,
0219210Z,,,,
3471930Z,,,,
7121629Z.DE,,,,
6175567Z.SA,,,,
GMCR,54.86,63.54,60.88,59.76
MAN,72.77,83.13,78.85,78.25
222691Z.PA,,,,
CTT.LS,,,,
0545275D,,,,
4113058Z.SN,,,,
KORAILZ.KS,,,,
OUTR,66.13,80.58,71.47,72.73
CSTM,38.04,68.34,70.71,59.03
1824.T,,,,
MDLZ,68.64,61.77,67.27,65.89
5330Z,,,,
TME.NZ,,,,
1616282Z.L,,,,
EXSAI,,,,
GSIT,50.7,57.32,58.18,55.4
MLIFE.BO,,,,
0145694D,,,,
ALTA.PA,,,,
CNHI,66.4,77.34,72.44,72.06
RFP,63.42,61.58,73.41,66.14
6857.T,,,,
AFE.JO,,,,
ACS.MC,,,,
AGL.AX,,,,
AKER.OL,,,,
ALTR,76.08,58.37,76.28,70.24
ACEM.BO,,,,
AEP,52.49,69.66,74.23,65.46
AAPL,52.52,45.18,60.74,52.81
AMAT,74.82,73.41,65.45,71.22
AIO.AX,,,,
7936.T,,,,
ASSAB.ST,,,,
AVB,66.4,53.68,60.75,60.28
BTOW3.SA,,,,
BLL,68.82,68.41,63.72,66.98
381469Z.L,,,,
ABX.TO,,,,
1115351Z.L,,,,
BC8.DE,,,,
BEI.DE,,,,
BYG.L,,,,
BXB.AX,,,,
BVIC.L,,,,
CTX.AX,,,,
CNQ.TO,,,,
CLS.TO,,,,
CEP.MC,,,,
CSNA3.SA,,,,
9876566D,,,,
4519.T,,,,
CPG.L,,,,
CPG.TO,,,,
8750.T,,,,
4506.T,,,,
1878.T,,,,
8601.T,,,,
2308.TW,,,,
DLM,,,,
5132650Z.TO,,,,
