Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AGN,,,,,
AGN,,,,,
AGN,,,,,
AGN,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
ALN1V.HE,,,,,
AOI,,,,,
ATST.L,,,,,
ATST.L,,,,,
ALL,2024-09-30,57.24,61.96,55.49,58.23
ALL,2024-09-30,57.24,61.96,55.49,58.23
ALL,2024-09-30,57.24,61.96,55.49,58.23
ALV.DE,,,,,
ALV.DE,,,,,
ALV.DE,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
AEL.JO,,,,,
ALBK.L,,,,,
ALBK.L,,,,,
AWC.AX,,,,,
AWC.AX,,,,,
AWC.AX,,,,,
ALO.PA,,,,,
ALO.PA,,,,,
AOX.DE,,,,,
AOX.DE,,,,,
AOX.DE,,,,,
MO,2024-09-30,59.54,55.07,68.87,61.16
1154Z,,,,,
AMEAS.HE,,,,,
AMEAS.HE,,,,,
AMEAS.HE,,,,,
AMEAS.HE,,,,,
AAL,2024-09-30,71.27,64.55,70.82,68.88
AAL,2024-09-30,71.27,64.55,70.82,68.88
AEE,2024-09-30,60.26,75.4,79.02,71.56
AEE,2024-09-30,60.26,75.4,79.02,71.56
AMC.AX,,,,,
AMC.AX,,,,,
AMC.AX,,,,,
AMC.AX,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AMFW.L,,,,,
AXP,2024-12-31,57.91,64.29,55.73,59.31
AMGN,2024-09-30,66.1,54.19,68.17,62.82
AMGN,2024-09-30,66.1,54.19,68.17,62.82
AMGN,2024-09-30,66.1,54.19,68.17,62.82
AMGN,2024-09-30,66.1,54.19,68.17,62.82
AML.L,,,,,
AML.L,,,,,
AML.L,,,,,
AML.L,,,,,
AMP.AX,,,,,
APC,2019-06-30,74.9,65.31,72.08,70.76
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AAL.L,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
AMS.JO,,,,,
ANG.JO,,,,,
ANG.JO,,,,,
ANG.JO,,,,,
APA.AX,,,,,
STS.MI,,,,,
STS.MI,,,,,
STS.MI,,,,,
STS.MI,,,,,
STS.MI,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
ANTO.L,,,,,
AON,2024-09-30,58.68,71.3,62.83,64.27
ATR,2024-12-31,55.8,54.64,54.19,54.88
ARCAD.AS,,,,,
ARCAD.AS,,,,,
ACL.JO,,,,,
ACL.JO,,,,,
ARX.TO,,,,,
MT.AS,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
ARM.L,,,,,
2502.T,,,,,
2502.T,,,,,
2502.T,,,,,
5201.T,,,,,
5201.T,,,,,
5201.T,,,,,
5201.T,,,,,
5201.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
3407.T,,,,,
4503.T,,,,,
4503.T,,,,,
4503.T,,,,,
4503.T,,,,,
4503.T,,,,,
4503.T,,,,,
APN.JO,,,,,
APN.JO,,,,,
APN.JO,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
G.MI,,,,,
ATK.L,,,,,
AZN.L,,,,,
AZN.L,,,,,
AZN.L,,,,,
AZN.L,,,,,
AZN.L,,,,,
2357.TW,,,,,
2357.TW,,,,,
ASX.AX,,,,,
ASX.AX,,,,,
ASX.AX,,,,,
T,2024-09-30,71.8,58.57,72.06,67.48
ATEA.OL,,,,,
ATEA.OL,,,,,
ATEA.OL,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
ATL.MI,,,,,
ATCO-A.ST,,,,,
ATCO-A.ST,,,,,
ATCO-A.ST,,,,,
ATCO-A.ST,,,,,
ATO.PA,,,,,
ATO.PA,,,,,
ATA.TO,,,,,
ATA.TO,,,,,
2409.TW,,,,,
2409.TW,,,,,
AIA.NZ,,,,,
AIA.NZ,,,,,
ANZ.AX,,,,,
ANZ.AX,,,,,
ANZ.AX,,,,,
ANZ.AX,,,,,
ANZ.AX,,,,,
AMS.SW,,,,,
AMS.SW,,,,,
AMS.SW,,,,,
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADSK,2024-10-31,75.57,62.35,73.4,70.44
ADP,2024-12-31,65.7,64.76,70,66.82
ADP,2024-12-31,65.7,64.76,70,66.82
3414924Q,,,,,
AEG.JO,,,,,
AVY,2024-09-28,70.65,78.15,72.48,73.76
AV.L,,,,,
AV.L,,,,,
AV.L,,,,,
AV.L,,,,,
AV.L,,,,,
AV.L,,,,,
AV.L,,,,,
AVP,2020-06-30,61.69,70.36,65.04,65.7
CS.PA,,,,,
CS.PA,,,,,
SPR.DE,,,,,
AXFO.ST,,,,,
BBY.L,,,,,
BBY.L,,,,,
BBY.L,,,,,
BA.L,,,,,
BHGE,,,,,
BES.LS,,,,,
BES.LS,,,,,
BES.LS,,,,,
BES.LS,,,,,
BES.LS,,,,,
BMPS.MI,,,,,
BMPS.MI,,,,,
BMPS.MI,,,,,
BMPS.MI,,,,,
BBDC3.SA,,,,,
BBDC3.SA,,,,,
BBDC3.SA,,,,,
BCP.LS,,,,,
BCP.LS,,,,,
BBAS3.SA,,,,,
BBAS3.SA,,,,,
BBAS3.SA,,,,,
BBAS3.SA,,,,,
GALI,,,,,
GALI,,,,,
BMO.TO,,,,,
BMO.TO,,,,,
BMO.TO,,,,,
SAB.MC,,,,,
BO.CO,,,,,
BO.CO,,,,,
BO.CO,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
POP.MC,,,,,
SAN.MC,,,,,
SAN.MC,,,,,
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BAC,2024-09-30,71.5,53.9,56.9,60.77
BCVN.SW,,,,,
BCVN.SW,,,,,
BCVN.SW,,,,,
BCVN.SW,,,,,
BCVN.SW,,,,,
BCVN.SW,,,,,
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BK,2024-09-30,72.64,72.4,70.68,71.91
BNS.TO,,,,,
BKT.MC,,,,,
BKT.MC,,,,,
BARC.L,,,,,
BARC.L,,,,,
BARC.L,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAS.DE,,,,,
BAW.JO,,,,,
BAW.JO,,,,,
BLKB.SW,,,,,
BLKB.SW,,,,,
